No	Simplified	Traditional	Pinyin	English
253	福利	福利	fúlì	welfare
254	辅助	輔助	fǔzhù	auxiliary
255	负责人	負責人	fù zé rén	principal; person in charge
256	附件	附件	fùjiàn	Enclosure
257	改革	改革	gǎigé	reform
258	干脆	乾脆	gāncuì	simply
259	干扰	干擾	gānrǎo	interfere
260	干预	干預	gānyù	intervene
261	感想	感想	gǎnxiǎng	Feel
262	钢笔	鋼筆	gāng bǐ	pen; fountain pen
263	钢琴	鋼琴	gāng qín	piano; pianoforte
264	高大	高大	gāo dà	tall; lofty
265	高度	高度	gāo dù	altitude; height; high; highly
266	高跟鞋	高跟鞋	gāo gēn xié	high-heeled shoes
267	高温	高温	gāo wēn	high temperature
268	高于	高於	gāo yú	higher than; overtop
269	高原	高原	gāo yuán	plateau; highland; tableland
270	搞	搞	gǎo	get
271	搞好	搞好	gǎo hǎo	do well; make a good job of
272	歌曲	歌曲	gē qǔ	song
273	隔壁	隔壁	gébì	next door
274	个儿	個兒	gèr	height; size; stature
275	跟前	跟前	gēnqián	In front of
276	跟随	跟隨	gēnsuí	follow
277	更换	更換	gēng huàn	change; replace
278	更新	更新	gēngxīn	renovate; renew
279	工艺	工藝	gōng yì	technology; craft
280	工作日	工作日	gōng zuò rì	workday; working day
281	公告	公告	gōnggào	Notice
282	公认	公認	gōngrèn	Accepted
283	公式	公式	gōngshì	formula
284	公正	公正	gōngzhèng	fair
285	共计	共計	gòngjì	count up to; sum to
286	共享	共享	gòng xiǎng	enjoy together; share
287	沟	溝	gōu	ditch; gutter; trench; gully
288	沟通	溝通	gōutōng	Communicate
289	估计	估計	gūjì	estimate
290	古老	古老	gǔ lǎo	ancient; old; age-old
291	鼓	鼓	gǔ	drum; beat; rouse; bulging
292	鼓励	鼓勵	gǔlì	encourage
293	鼓掌	鼓掌	gǔzhǎng	applause
294	顾问	顧問	gùwèn	adviser
295	怪（动）	怪（動）	guài	blame
296	关怀	關懷	guānhuái	Care
297	关键	關鍵	guānjiàn	crux
298	冠军	冠軍	guànjūn	Champion
299	光荣	光榮	guāngróng	glory
300	光线	光線	guāng xiàn	light; optical line
301	广	廣	guǎng	broad; wide; vast; extensive; numerous; spread
302	广泛	廣泛	guǎngfàn	widely
303	规划	規劃	guīhuà	Plan
304	鬼	鬼	guǐ	ghost; spirit; apparition; dirty trick; terrible; smart
305	柜子	櫃子	guì zi	cupboard; cabinet; chest
306	滚	滾	gǔn	rolling
307	锅	鍋	guō	pot
308	国籍	國籍	guójí	nationality
309	国民	國民	guó mín	national
310	过度	過度	guòdù	excessive
311	过敏	過敏	guòmǐn	allergy
312	过于	過於	guòyú	too; excessively
313	害	害	hài	evil; harm; calamity; harmful; destructive; injurious; do harm
314	汗	汗	hàn	sweat
315	好运	好運	hǎo yùn	good luck
316	号召	號召	hàozhào	call
317	合并	合併	hébìng	merge
318	合成	合成	héchéng	Synthesis
319	盒	盒	hé	box; case
320	盒饭	盒飯	hé fàn	box lunch
321	盒子	盒子	hézi	Box
322	贺卡	賀卡	hè kǎ	greeting card
323	恨	恨	hèn	hate
324	猴	猴	hóu	monkey
325	后悔	後悔	hòuhuǐ	regret
326	胡同儿	衚衕兒	hú tòngr	alley; lane; bystreet
327	胡子	鬍子	hú zi	mustache; beard
328	虎	虎	hǔ	tiger
329	华语	華語	huá yǔ	the Chinese language; Chinese
330	滑	滑	huá	slippery
331	化石	化石	huàshí	Fossil
332	划分	劃分	huàfēn	Divide
333	画面	畫面	huà miàn	frames; picture
334	环节	環節	huánjié	link
335	慌	慌	huāng	panic; flurried; confused; flustered; awfully
336	慌忙	慌忙	huāng máng	hurried; hurry; hurry-scurry
337	灰色	灰色	huī sè	gray; pessimistic
338	恢复	恢復	huīfù	recovery
339	回报	回報	huíbào	Return
340	回避	迴避	huíbì	obviate; slide over
341	回顾	回顧	huígù	review; look back
342	回收	回收	huíshōu	recovery
343	回头	回頭	huí tóu	turn one’s head; repent; later
344	回信	回信	huí xìn	reply; write in reply; letter in reply
345	回忆	回憶	huíyì	Memory
346	汇款	匯款	huì kuǎn	remittance; remit money
347	会谈	會談	huì tán	talks; conversation
348	活力	活力	huólì	energy; vigor
349	活泼	活潑	huópō	lively
350	火柴	火柴	huǒchái	Match
351	火腿	火腿	huǒ tuǐ	ham
352	火灾	火災	huǒ zāi	fire; fire disaster
353	或是	或是	huò shì	or
354	机器人	機器人	jī qì rén	robot
355	机制	機制	jī zhì	mechanism; machine-processed; machine-made
356	肌肉	肌肉	jīròu	muscle
357	基地	基地	jīdì	base
358	基金	基金	jījīn	fund
359	即使	即使	jíshǐ	even if
360	集团	集團	jítuán	group
361	挤	擠	jǐ	squeeze; press; crowd; push; crowded
362	记忆	記憶	jìyì	memory
363	技能	技能	jì néng	technical ability; skill
364	继承	繼承	jìchéng	inherit
365	加热	加熱	jiā rè	heat; heating; calefaction
366	加上	加上	jiā shàng	plus; add; with the addition of
367	加速	加速	jiā sù	speed up; accelerate; quicken
368	加以	加以	jiā yǐ	moreover; in addition
369	夹	夾	jiā	clip; folder; press from both sides; place in between; mix
370	甲	甲	jiǎ	nail
371	价	價	jià	price; value
372	驾驶	駕駛	jiàshǐ	Drive
373	驾照	駕照	jià zhào	driving license
374	坚定	堅定	jiāndìng	Firm, steadfast
375	肩	肩	jiān	shoulder
376	艰苦	艱苦	jiānkǔ	hard
377	艰难	艱難	jiānnán	difficult
378	检验	檢驗	jiǎnyàn	test
379	减轻	減輕	jiǎn qīng	lighten; ease; alleviate; mitigate; mitigation
380	剪	剪	jiǎn	cut; clip; trim; wipe out; scissors
381	剪刀	剪刀	jiǎndāo	scissors
382	剪子	剪子	jiǎn zi	scissors; shears; clippers
383	间接	間接	jiànjiē	indirect
384	建造	建造	jiàn zào	construct; build; put up
385	建筑	建築	jiànzhù	Architecture
386	健全	健全	jiànquán	sound
387	键	鍵	jiàn	key; bond
388	键盘	鍵盤	jiànpán	keyboard
389	将	將	jiāng	be going to; will; would
390	将要	將要	jiāng yào	will; shall; be going to
391	奖励	獎勵	jiǎnglì	reward
392	交代	交代	jiāodài	hand over
393	郊区	郊區	jiāoqū	Suburb
394	胶带	膠帶	jiāo dài	tape; adhesive plaster
395	胶水	膠水	jiāoshuǐ	glue
396	脚步	腳步	jiǎo bù	footstep; step; pace
397	接触	接觸	jiēchù	Contact
398	接连	接連	jiēlián	One after another
399	解除	解除	jiěchú	Relieve
400	解放	解放	jiěfàng	liberate
401	戒	戒	jiè	Quit
402	届	屆	jiè	Session
403	今日	今日	jīn rì	today
404	尽管	儘管	jǐnguǎn	although
405	紧紧	緊緊	jǐn jǐn	closely; tightly
406	尽可能	儘可能	jǐn kě néng	as much as possible
407	进化	進化	jìnhuà	evolution
408	近来	近來	jìnlái	recently
409	经费	經費	jīngfèi	funds
410	景象	景象	jǐng xiàng	scene; sight
411	警告	警告	jǐnggào	warning
412	竞赛	競賽	jìngsài	competition
413	竞争	競爭	jìngzhēng	compete
414	酒鬼	酒鬼	jiǔ guǐ	drunkard
415	救灾	救災	jiù zāi	disaster relief
416	居然	居然	jūrán	actually
417	局面	局面	júmiàn	situation
418	局长	局長	jú zhǎng	director
419	举动	舉動	jǔdòng	Move
420	拒绝	拒絕	jùjué	refuse
421	俱乐部	俱樂部	jùlèbù	Club
422	剧本	劇本	jùběn	Script
423	决不	決不	jué bù	never; not at all; definitely not
424	绝望	絕望	juéwàng	Despair
425	军人	軍人	jūn rén	soldier; serviceman
426	开幕	開幕	kāi mù	open; inaugurate; rising of a curtain
427	开幕式	開幕式	kāimùshì	The opening ceremony
428	看成	看成	kàn chéng	regard as; consider as; treat
429	看出	看出	kàn chū	see; find out; perceive; espy
430	看待	看待	kàndài	To view
431	考核	考核	kǎohé	examine; assess
432	烤肉	烤肉	kǎo ròu	barbecue; roast meat; grill
433	烤鸭	烤鴨	kǎoyā	Roasted Duck
434	靠近	靠近	kào jìn	near; close to; by
435	颗	顆	kē	grain (measure word)
436	咳	咳	ké	cough
437	可	可	kě	can; may; approve; be worth; suit; but; yet
438	可怜	可憐	kělián	Poor
439	可惜	可惜	kěxī	unfortunately
440	渴望	渴望	kěwàng	Yearn
441	刻（动）	刻（動）	kè	carve; engrave; cut
442	客户	客户	kèhù	Customer
443	客气	客氣	kè qì	polite; courteous; modest
444	客厅	客廳	kètīng	A living room
445	课题	課題	kètí	topic
446	肯定	肯定	kěndìng	sure
447	空中	空中	kōng zhōng	in the air; in the sky
448	控制	控制	kòngzhì	control
449	口号	口號	kǒu hào	slogan; catchword; catchphrase
450	库	庫	kù	library; warehouse; storeroom
451	快活	快活	kuàihuo	happy
452	宽度	寬度	kuān dù	breadth; width
453	狂	狂	kuáng	mad; crazy; violent; wild; unrestrained
454	亏	虧	kuī	deficit; deficiency; luckily
455	困扰	困擾	kùn rǎo	perplex; persecute; puzzle; obsession
456	落	落	là	be missing; leave behind; forget to bring
457	来信	來信	lái xìn	send a letter here; incoming letter
458	烂	爛	làn	rotten
459	朗读	朗讀	lǎngdú	Reading aloud
460	浪漫	浪漫	làngmàn	romantic
461	劳动	勞動	láodòng	labour
462	梨	梨	lí	pear
463	礼	禮	lǐ	ceremony; rite; courtesy; manners; gift
464	礼拜	禮拜	lǐ bài	week; day of the week; religious service
465	礼貌	禮貌	lǐmào	politeness
466	厉害	厲害	lìhai	Fierce
467	立	立	lì	stand; erect; stand; found; set up; upright; vertical
468	立场	立場	lìchǎng	position
469	利润	利潤	lìrùn	profit
470	例外	例外	lìwài	exception
471	连接	連接	lián jiē	link; joint; relate, unite, connect, attach; connection
472	联络	聯絡	liánluò	liaison
473	联想	聯想	liánxiǎng	association
474	脸盆	臉盆	liǎn pén	washbasin
475	脸色	臉色	liǎn sè	complexion; look; color; facial expression
476	恋爱	戀愛	liàn’ài	Love
477	两岸	兩岸	liǎng àn	both sides; both coasts; cross-strait
478	邻居	鄰居	línjū	neighbor
479	铃	鈴	líng	bell
480	铃声	鈴聲	líng shēng	ring; the tinkle of bells
481	领带	領帶	lǐng dài	necktie; tie
482	令	令	lìng	make; cause; order; command; decree; season
483	流动	流動	liú dòng	flow; run; mobile
484	流通	流通	liútōng	circulation
485	漏	漏	lòu	leak
486	漏洞	漏洞	lòu dòng	leak; flaw; hole; loophole
487	逻辑	邏輯	luóji	logic
488	落实	落實	luòshí	put into effect
489	码头	碼頭	mǎtóu	wharf
490	骂	罵	mà	scold
491	买卖	買賣	mǎi mài	buy and sell; business; transaction
492	漫长	漫長	màncháng	Very long
493	漫画	漫畫	mànhuà	Cartoon
494	毛笔	毛筆	máo bǐ	writing brush; Chinese brush
495	矛盾	矛盾	máodùn	contradiction
496	冒	冒	mào	give off; risk; bold; boldly
497	贸易	貿易	màoyì	Trade
498	煤	煤	méi	coal
499	煤气	煤氣	méi qì	coal gas; gas
500	门诊	門診	mén zhěn	outpatient service
501	迷人	迷人	mírén	charming
502	迷信	迷信	míxìn	superstition
503	面貌	面貌	miànmào	face
504	面子	面子	miànzi	prestige; face
505	秒	秒	miǎo	seconds
506	敏感	敏感	mǐngǎn	Sensitive
507	明亮	明亮	míng liàng	light; bright; lightness; vividness
508	明明	明明	míngmíng	Obviously
509	命令	命令	mìnglìng	command
510	模范	模範	mófàn	model
511	模仿	模仿	mófǎng	imitate
512	模糊	模糊	móhu	vague
513	模式	模式	móshì	mode; style
514	摩擦	摩擦	mócā	rub; scrape
515	摩托	摩托	mó tuō	motorcycle
516	模样	模樣	múyàng	Appearance
517	目光	目光	mùguāng	Eye
518	耐心	耐心	nàixīn	patience
519	男性	男性	nán xìng	man; male; masculinity
520	南北	南北	nán běi	north and south
521	南极	南極	nán jí	South Pole; Antarctic Pole
522	难得	難得	nándé	rare
523	难以	難以	nán yǐ	difficult; hard
524	脑子	腦子	nǎo zi	brain
525	内在	內在	nèizài	inherent
526	能量	能量	néngliàng	energy
527	年度	年度	niándù	year
528	年龄	年齡	niánlíng	Age
529	年前	年前	nián qián	before the New Year; years ago
530	牛（形）	牛（形）	niú	stubborn; brave; awesome
531	牛仔裤	牛仔褲	niúzǎikù	Jeans
532	农产品	農產品	nóng chǎn pǐn	produce; farm produce; agricultural products
533	女性	女性	nǚ xìng	woman; woman; femininity
534	暖	暖	nuǎn	warm; genial; warm up
535	偶尔	偶爾	ǒu’ěr	occasionally
536	偶然	偶然	ǒurán	accidental
537	偶像	偶像	ǒuxiàng	idol
538	拍摄	拍攝	pāi shè	film; shoot
539	排除	排除	páichú	eliminate; remove; debar
540	旁	旁	páng	side; other; else
541	陪	陪	péi	accompany
542	赔	賠	péi	compensate; pay; stand a loss
543	赔偿	賠償	péicháng	compensate for
544	配备	配備	pèibèi	Equipment
545	配套	配套	pèitào	form a complete set
546	喷	噴	pēn	spout; gush; spray; sprinkle; spraying; spew
547	盆	盆	pén	basin, tub
548	披	披	pī	wrap around
549	皮肤	皮膚	pífū	skin
550	皮鞋	皮鞋	píxié	leather shoes
551	脾气	脾氣	píqi	Bad temper
552	匹	匹	pǐ	Horse (measure word)
553	骗	騙	piàn	fool
554	骗子	騙子	piàn zi	fraud; cheater; swindler
555	拼	拼	pīn	spell; go all out; join together; spelling
556	频道	頻道	píndào	channel
557	频繁	頻繁	pínfán	frequently
558	品	品	pǐn	savour; taste; judge; blow; species; grade
559	品（工艺品）	品（工藝品）	pǐn （gōng yì pǐn）	article; product (handicraft)
560	品种	品種	pǐnzhǒng	Varieties
561	平坦	平坦	píngtǎn	flat
562	平原	平原	píngyuán	plain
563	评估	評估	pínggū	evaluate
564	评论	評論	pínglùn	comment
565	凭	憑	píng	By
566	泼	潑	pō	Splash
567	葡萄	葡萄	pútao	Grape
568	葡萄酒	葡萄酒	pú táo jiǔ	wine; grape wine
569	期望	期望	qīwàng	Expect
570	齐全	齊全	qíquán	complete; all ready
571	其	其	qí	his; her; its; their; he; she; it; they; such; that
572	启动	啓動	qǐ dòng	switch on; start
573	启发	啓發	qǐfā	Inspire
574	启事	啓事	qǐshì	Notice
575	起到	起到	qǐ dào	play; act as
576	起码	起碼	qǐmǎ	Minimum, at least
577	气体	氣體	qì tǐ	gas
578	气象	氣象	qìxiàng	Meteorological
579	签（动）	籤（動）	qiān	sign; autograph; sign one’s name
580	签订	簽訂	qiān dìng	conclude and sign; sign
581	签名	簽名	qiān míng	signature; sign one’s name; autograph
582	签约	簽約	qiān yuē	sign up; sign a contract
583	签证	簽證	qiānzhèng	visa
584	签字	簽字	qiān zì	sign; affix one’s signature; sign a signature
585	前景	前景	qiánjǐng	prospect
586	前提	前提	qiántí	precondition
587	欠	欠	qiàn	owe
588	枪	槍	qiāng	gun
589	强度	強度	qiáng dù	strength; intensity
590	墙壁	牆壁	qiáng bì	wall
591	抢	搶	qiǎng	rob
592	抢救	搶救	qiǎngjiù	rescue
593	强迫	強迫	qiǎngpò	Force
594	悄悄	悄悄	qiāoqiāo	quietly
595	敲	敲	qiāo	knock
596	敲门	敲門	qiāo mén	knock on the door
597	瞧	瞧	qiáo	look
598	琴	琴	qín	zither; a general name for certain musical instruments
599	勤奋	勤奮	qínfèn	hardworking
600	青	青	qīng	young
601	清晨	清晨	qīngchén	Early morning
602	清理	清理	qīnglǐ	Clear
603	情节	情節	qíngjié	plot
604	情形	情形	qíngxíng	Situation
605	晴朗	晴朗	qínglǎng	sunny
606	区域	區域	qūyù	region
607	全都	全都	quán dōu	all; without exception
608	全世界	全世界	quán shì jiè	worldwide; entire world
609	泉	泉	quán	spring; fountain
610	劝	勸	quàn	persuade
611	缺乏	缺乏	quēfá	Lack
612	确立	確立	quèlì	establish
613	群体	羣體	qún tǐ	group; colony
614	群众	羣眾	qúnzhòng	The masses
615	染	染	rǎn	dye
616	绕	繞	rào	Around
617	热量	熱量	rè liàng	calories; heat; quantity of heat
618	热门	熱門	rèmén	Hot
619	人间	人間	rénjiān	Human world
620	人力	人力	rén lì	manpower; manual labour
621	人士	人士	rénshì	Personage
622	人物	人物	rénwù	character
623	忍	忍	rěn	endure; tolerate; put up with; have the heart to
624	忍不住	忍不住	rěnbuzhù	Unable to bear
625	忍受	忍受	rěnshòu	bear
626	认	認	rèn	recognize; know; make out; identify; adopt; admit
627	认定	認定	rèndìng	cognizance
628	扔	扔	rēng	throw
629	仍旧	仍舊	réngjiù	still
630	如此	如此	rú cǐ	so; such; in this way; like that
631	如同	如同	rú tóng	as; like
632	如下	如下	rú xià	as follows; as below
633	入门	入門	rù mén	introduction to a subject; elementary course
634	软	軟	ruǎn	soft
635	软件	軟件	ruǎnjiàn	Software
636	洒	灑	sǎ	sprinkle
637	散	散	sǎn	fall apart; scattered
638	散文	散文	sǎnwén	Prose
639	杀	殺	shā	kill
640	杀毒	殺毒	shā dú	antivirus; kill virus
641	沙漠	沙漠	shāmò	Desert
642	傻	傻	shǎ	silly
643	山区	山區	shān qū	mountain area
644	扇	扇	shān	fan; slap; flap; flutter; fan up
645	扇	扇	shàn	fan; leaf; (measure word)
