No	Simplified	Traditional	Pinyin	English
139	好吃	好吃	hǎochī	Yummy
140	好看	好看	hǎo kàn	good looking
141	好听	好聽	hǎo tīng	pleasant to hear
142	好玩儿	好玩兒	hǎo wánr	fun; interesting
143	号	號	hào	Number/date
144	喝	喝	hē	drink
145	和	和	hé	and
146	很	很	hěn	very
147	后	後	hòu	back; behind; after; later
148	后边	後邊	hòu biān	behind; back
149	后天	後天	hòu tiān	day after tomorrow
150	花（名）	花（名）	huā	flower
151	话	話	huà	word; words
152	坏	壞	huài	bad
153	还	還	huán	return; pay back
154	回（动）	回（動）	huí	go back; return
155	回答	回答	huídá	Answer
156	回到	回到	huí dào	back to
157	回家	回家	huí jiā	go home; return home
158	回来	回來	huí lái	come back; return
159	回去	回去	huí qù	go back
160	会（动）	會（動）	huì	can; be able to
161	火车	火車	huǒ chē	train
162	机场	機場	jīchǎng	Airport
163	机票	機票	jī piào	air ticket
164	鸡蛋	雞蛋	jīdàn	Egg
165	几	幾	jǐ	several
166	记	記	jì	remember
167	记得	記得	jìdé	remember
168	记住	記住	jì zhù	remember; keep in mind
169	家	家	jiā	home
170	家里	家裏	jiā lǐ	In the home
171	家人	家人	jiā rén	family
172	间	間	jiān	between; measure word for rooms
173	见	見	jiàn	see; meet
174	见面	見面	jiànmiàn	meet
175	教	教	jiāo	teach
176	叫（动）	叫（動）	jiào	call; be called
177	教学楼	教學樓	jiào xué lóu	teaching building
178	姐姐｜姐	姐姐｜姐	jiě jie ｜ jiě	elder sister
179	介绍	介紹	jièshào	introduce
180	今年	今年	jīn nián	this year
181	今天	今天	jīntiān	Today
182	进	進	jìn	enter
183	进来	進來	jìn lái	come in
184	进去	進去	jìn qù	go in
185	九	九	jiǔ	Nine
186	就	就	jiù	as soon as; right away; then
187	觉得	覺得	juéde	Think
188	开	開	kāi	open
189	开车	開車	kāi chē	drive; drive a car
190	开会	開會	kāi huì	have a meeting
191	开玩笑	開玩笑	kāiwánxiào	Make fun of
192	看	看	kàn	see
193	看病	看病	kàn bìng	see a doctor
194	看到	看到	kàn dào	see
195	看见	看見	kànjiàn	seeing
196	考	考	kǎo	test; examine
197	考试	考試	kǎoshì	Examination
198	渴	渴	kě	thirsty
199	课	課	kè	course
200	课本	課本	kè běn	textbook
201	课文	課文	kè wén	text
202	口	口	kǒu	mouth
203	块	塊	kuài	block
204	快	快	kuài	fast
205	来	來	lái	come
206	来到	來到	lái dào	come; arrive
207	老（形）	老（形）	lǎo	old; aged
208	老人	老人	lǎo rén	old people; the aged
209	老师	老師	lǎoshī	Teacher
210	了	了	le	past tense marker
211	累	累	lèi	tired
212	冷	冷	lěng	cold
213	里	裏	lǐ	in
214	里边	裏邊	lǐ biān	inside
215	两（数）	兩（數）	liǎng	two
216	零｜〇	零｜〇	líng ｜ líng	zero
217	六	六	liù	Six
218	楼	樓	lóu	floor
219	楼上	樓上	lóu shàng	upstairs
220	楼下	樓下	lóu xià	downstairs
221	路	路	lù	road
222	路口	路口	lù kǒu	intersection; crossing
223	路上	路上	lù shàng	on the road
224	妈妈｜妈	媽媽｜媽	mā ma ｜ mā	mom; mother
225	马路	馬路	mǎ lù	road; street
226	马上	馬上	mǎshàng	Right off
227	吗	嗎	ma	auxiliary word
228	买	買	mǎi	buy
229	慢	慢	màn	slow
230	忙	忙	máng	busy
231	毛（量）	毛（量）	máo	a fractional unit of money in China (measure word)
232	没	沒	méi	no
233	没关系	沒關係	méiguānxi	No problem
234	没什么	沒什麼	méi shén me	It’s nothing
235	没事儿	沒事兒	méi shìr	It’s okay
236	没有	沒有	méi yǒu	have not; no
237	妹妹｜妹	妹妹｜妹	mèi mei ｜ mèi	younger sister
238	门	門	mén	door
239	门口	門口	mén kǒu	doorway
240	门票	門票	mén piào	tickets
241	们（朋友们）	們（朋友們）	men （ péng yǒu men ）	plural marker for pronouns and a few animate nouns (friends)
242	米饭	米飯	mǐfàn	Steamed Rice
243	面包	麪包	miànbāo	Bread
244	面条儿	麪條兒	miàn tiáor	noodles
245	名字	名字	míngzi	Name
246	明白	明白	míngbai	clear
247	明年	明年	míng nián	next year
248	明天	明天	míngtiān	Tomorrow
249	拿	拿	ná	take
250	哪	哪	nǎ	which
251	哪里	哪裏	nǎ lǐ	where
252	哪儿	哪兒	nǎr	where
253	哪些	哪些	nǎ xiē	which
254	那（代）	那（代）	nà	that
255	那边	那邊	nà biān	there
256	那里	那裏	nà lǐ	there
257	那儿	那兒	nàr	there
258	那些	那些	nà xiē	those
259	奶	奶	nǎi	milk
260	奶奶	奶奶	nǎinai	grandma
261	男	男	nán	Man
262	男孩儿	男孩兒	nán háir	boy
263	男朋友	男朋友	nán péng yǒu	boyfriend
264	男人	男人	nán ren	man
265	男生	男生	nán shēng	boy
266	南	南	nán	south
267	南边	南邊	nán biān	south; south side
268	难	難	nán	hard, difficult
269	呢	呢	ne	auxiliary word
270	能	能	néng	can
271	你	你	nǐ	you
272	你们	你們	nǐ men	you
273	年	年	nián	year
274	您	您	nín	you
275	牛奶	牛奶	niúnǎi	milk
276	女	女	nǚ	woman
277	女儿	女兒	nǚ’ér	daughter
278	女孩儿	女孩兒	nǚ háir	girl
279	女朋友	女朋友	nǚ péng yǒu	girlfriend
280	女人	女人	nǚ ren	woman
281	女生	女生	nǚ shēng	girl
282	旁边	旁邊	pángbiān	Side
283	跑	跑	pǎo	run
284	朋友	朋友	péngyou	Friend
285	票	票	piào	ticket
286	七	七	qī	Seven
287	起	起	qǐ	get up; start; rise
288	起床	起牀	qǐchuáng	Get up
289	起来	起來	qǐlái	get up
290	汽车	汽車	qì chē	car
291	前	前	qián	front
292	前边	前邊	qián biān	in front
293	前天	前天	qián tiān	the day before yesterday
294	钱	錢	qián	money
295	钱包	錢包	qián bāo	wallet
296	请	請	qǐng	please
297	请假	請假	qǐngjià	ask for leave
298	请进	請進	qǐng jìn	please come in
299	请问	請問	qǐng wèn	excuse me
300	请坐	請坐	qǐng zuò	please have a seat
301	球	球	qiú	ball
302	去	去	qù	go
303	去年	去年	qùnián	Last year
304	热	熱	rè	heat
305	人	人	rén	people
306	认识	認識	rènshi	know
307	认真	認真	rènzhēn	earnest
308	日	日	rì	date
309	日期	日期	rìqī	Date
310	肉	肉	ròu	meat
311	三	三	sān	Three
312	山	山	shān	mountain
313	商场	商場	shāng chǎng	mall; shopping mall
314	商店	商店	shāngdiàn	Shop
315	上	上	shàng	upper
316	上班	上班	shàngbān	go to work
317	上边	上邊	shàng biān	above; on
318	上车	上車	shàng chē	get on
319	上次	上次	shàng cì	last time
320	上课	上課	shàng kè	attend class; have a class
321	上网	上網	shàngwǎng	Surf the Internet
322	上午	上午	shàngwǔ	morning
323	上学	上學	shàng xué	go to school
324	少	少	shǎo	less
325	谁	誰	shéi	who
326	身上	身上	shēn shàng	body; on one’s body
327	身体	身體	shēntǐ	body
328	什么	什麼	shénme	What
329	生病	生病	shēngbìng	Fall ill
330	生气	生氣	shēngqì	get angry
331	生日	生日	shēngrì	Birthday
332	十	十	shí	Ten
333	时候	時候	shíhou	time
334	时间	時間	shíjiān	time
335	事	事	shì	thing
336	试	試	shì	try
337	是	是	shì	yes
338	是不是	是不是	shì bú shì	isn’t it?
339	手	手	shǒu	hand
340	手机	手機	shǒujī	Mobile phone
341	书	書	shū	book
342	书包	書包	shū bāo	school bag
343	书店	書店	shū diàn	bookstore
344	树	樹	shù	tree
345	水	水	shuǐ	water
346	水果	水果	shuǐguǒ	Fruits
347	睡	睡	shuì	sleep
348	睡觉	睡覺	shuìjiào	sleep
349	说	説	shuō	speak
350	说话	説話	shuōhuà	talk
351	四	四	sì	Four
352	送	送	sòng	give
353	岁	歲	suì	year, age
354	他	他	tā	he
355	他们	他們	tā men	they
356	她	她	tā	she
357	她们	她們	tā men	they
358	太	太	tài	too
359	天	天	tiān	day
360	天气	天氣	tiānqì	weather
361	听	聽	tīng	hear
362	听到	聽到	tīng dào	hear
363	听见	聽見	tīng jiàn	hear
364	听写	聽寫	tīng xiě	dictation; dictate
365	同学	同學	tóngxué	Classmate
366	图书馆	圖書館	túshūguǎn	Library
367	外	外	wài	abroad, outside
368	外边	外邊	wài biān	outside
369	外国	外國	wài guó	foreign country
370	外语	外語	wài yǔ	foreign language
371	玩儿	玩兒	wánr	play
372	晚	晚	wǎn	late
373	晚饭	晚飯	wǎn fàn	dinner
374	晚上	晚上	wǎnshang	Night
375	网上	網上	wǎng shàng	online
376	网友	網友	wǎng yǒu	net friend
377	忘	忘	wàng	forget
378	忘记	忘記	wàngjì	forget
379	问	問	wèn	ask
380	我	我	wǒ	I
381	我们	我們	wǒmen	We
382	五	五	wǔ	Five
383	午饭	午飯	wǔ fàn	lunch
384	西	西	xī	west
385	西边	西邊	xī biān	west; west side
386	洗	洗	xǐ	wash
387	洗手间	洗手間	xǐshǒujiān	Restroom
388	喜欢	喜歡	xǐhuan	like
389	下（名、动）	下（名、動）	xià	below; under; next; go down; get off
390	下班	下班	xià bān	get off work
391	下边	下邊	xià biān	below; under
392	下车	下車	xià chē	get off
393	下次	下次	xià cì	next time
394	下课	下課	xià kè	finish class
395	下午	下午	xiàwǔ	Afternoon
396	下雨	下雨	xiàyǔ	rain
397	先	先	xiān	before
398	先生	先生	xiānsheng	Sir
399	现在	現在	xiànzài	Now
400	想	想	xiǎng	think
401	小	小	xiǎo	Small
402	小孩儿	小孩兒	xiǎo háir	child; kid
403	小姐	小姐	xiǎojiě	Miss
404	小朋友	小朋友	xiǎo péng yǒu	child; kid
405	小时	小時	xiǎoshí	hour
406	小学	小學	xiǎo xué	primary school; elementary schoo
407	小学生	小學生	xiǎo xué shēng	elementary school student
408	笑	笑	xiào	laugh
409	写	寫	xiě	write
410	谢谢	謝謝	xièxie	Thank you
411	新	新	xīn	new
412	新年	新年	xīn nián	New Year
413	星期	星期	xīngqī	week
414	星期日	星期日	xīng qī rì	Sunday
415	星期天	星期天	xīng qī tiān	Sunday
416	行	行	xíng	That’s ok
417	休息	休息	xiūxi	Rest
418	学	學	xué	learn; study
419	学生	學生	xuésheng	Student
420	学习	學習	xuéxí	Study
421	学校	學校	xuéxiào	School
422	学院	學院	xué yuàn	college; academy
423	要（动）	要（動）	yào	want
424	爷爷	爺爺	yéye	grandpa
425	也	也	yě	also
426	页	頁	yè	page
427	一	一	yī	One
428	衣服	衣服	yīfu	clothes
429	医生	醫生	yīshēng	Doctor
430	医院	醫院	yīyuàn	Hospital
431	一半	一半	yí bàn	half
432	一会儿	一會兒	yíhuìr	A little while
433	一块儿	一塊兒	yí kuàir	together
434	一下儿	一下兒	yí xiàr	a little bit
435	一样	一樣	yíyàng	equally
436	一边	一邊	yìbiān	One side
437	一点儿	一點兒	yīdiǎnr	a little bit
438	一起	一起	yìqǐ	together
439	一些	一些	yì xiē	some
440	用	用	yòng	use
441	有	有	yǒu	have
442	有的	有的	yǒu de	some
443	有名	有名	yǒumíng	Famous
444	有时候｜有时	有時候｜有時	yǒu shí hòu ｜ yǒu shí	sometimes
445	有（一）些	有（一）些	yǒu （ yì ） xiē	some
446	有用	有用	yǒu yòng	useful
447	右	右	yòu	right
448	右边	右邊	yòubian	Right
449	雨	雨	yǔ	rain
450	元	元	yuán	element; Yuan
451	远	遠	yuǎn	far
452	月	月	yuè	month
453	再	再	zài	again
454	再见	再見	zàijiàn	Bye
455	在	在	zài	stay; in process of
456	在家	在家	zài jiā	at home
457	早	早	zǎo	early
458	早饭	早飯	zǎo fàn	breakfast
459	早上	早上	zǎoshang	Morning
460	怎么	怎麼	zěnme	How
461	站（名）	站（名）	zhàn	station
462	找	找	zhǎo	look for
463	找到	找到	zhǎo dào	find
464	这	這	zhè	Here (here)
465	这边	這邊	zhè biān	here
466	这里	這裏	zhè lǐ	here
467	这儿	這兒	zhèr	here
468	这些	這些	zhè xiē	these
469	着	着	zhe	in process of
470	真	真	zhēn	really
471	真的	真的	zhēn de	really
472	正（副）	正（副）	zhèng	just; exactly
473	正在	正在	zhèngzài	in process of
474	知道	知道	zhīdào	know
475	知识	知識	zhīshi	knowledge
476	中	中	zhōng	middle; in
477	中国	中國	zhōngguó	China
478	中间	中間	zhōngjiān	Middle
479	中文	中文	zhōngwén	Chinese
480	中午	中午	zhōngwǔ	Noon
481	中学	中學	zhōng xué	middle school
482	中学生	中學生	zhōng xué shēng	middle School student
483	重	重	zhòng	heavy
484	重要	重要	zhòngyào	important
485	住	住	zhù	live
486	准备	準備	zhǔnbèi	Get ready
487	桌子	桌子	zhuōzi	Table
488	字	字	zì	word, character
489	子（桌子）	子（桌子）	zi （ zhuō zi ）	noun suffix (table)
490	走	走	zǒu	go, walk
491	走路	走路	zǒu lù	walk
492	最	最	zuì	most
493	最好	最好	zuìhǎo	Best
494	最后	最後	zuìhòu	Last
495	昨天	昨天	zuótiān	Yesterday
496	左	左	zuǒ	left
497	左边	左邊	zuǒbian	left
498	坐	坐	zuò	sit
499	坐下	坐下	zuò xià	sit down
500	做	做	zuò	do
