No	Simplified	Traditional	Pinyin	English
99	冲	衝	chōng	punching
100	充电	充電	chōng diàn	recharge; charge
101	充电器	充電器	chōngdiànqì	Charger
102	充分	充分	chōngfèn	To the full
103	虫子	蟲子	chóng zi	insect; worm; bug
104	抽	抽	chōu	pump; take out; shrink; pick out
105	抽奖	抽獎	chōu jiǎng	lottery; lottery draw
106	抽烟	抽煙	chōuyān	smoking
107	出口	出口	chūkǒu	Exit
108	出色	出色	chūsè	excellent; outstanding
109	出售	出售	chū shòu	offer for sale; sell
110	出席	出席	chūxí	Attend
111	处于	處於	chǔ yú	be in; be (in a certain condition)
112	处	處	chǔ	dwell; live; be in a position of
113	穿上	穿上	chuān shàng	put on
114	传统	傳統	chuántǒng	tradition
115	窗户	窗户	chuānghu	Window
116	窗台	窗台	chuāng tái	windowsill; sill
117	窗子	窗子	chuāng zi	window
118	春季	春季	chūn jì	spring; springtime
119	纯	純	chún	pure; unmixed; simple; skilful; practised
120	纯净水	純淨水	chún jìng shuǐ	pure water
121	词汇	詞彙	cíhuì	vocabulary
122	此	此	cǐ	this; these; now; here
123	此外	此外	cǐwài	in addition
124	次（形）	次（形）	cì	second-rate; secondary
125	刺	刺	cì	thorn
126	刺激	刺激	cìjī	stimulate
127	从此	從此	cóngcǐ	from then on
128	粗	粗	cū	wide; thick; coarse; rough; gruff; careless; rude
129	粗心	粗心	cūxīn	careless
130	促进	促進	cùjìn	Promote
131	促使	促使	cùshǐ	Urge
132	促销	促銷	cù xiāo	promotion
133	措施	措施	cuòshī	Measures
134	打	打	dǎ	strike; hit; break; fight; build; beat
135	答案	答案	dá’àn	Answer
136	打败	打敗	dǎ bài	defeat; beat; be defeated
137	打雷	打雷	dǎ léi	thunder
138	打扫	打掃	dǎsǎo	Clean
139	打折	打折	dǎzhé	Discount
140	打针	打針	dǎzhēn	To make an injection
141	大巴	大巴	dà bā	bus
142	大多	大多	dà duō	mostly; for the most part
143	大方	大方	dàfang	generous
144	大哥	大哥	dà gē	big brother; elder brother
145	大规模	大規模	dà guī mó	large-scale; extensive
146	大会	大會	dà huì	convention; general meeting; General Assembly
147	大姐	大姐	dà jiě	elder sister
148	大楼	大樓	dà lóu	building; large building
149	大陆	大陸	dà lù	continent; mainland
150	大妈	大媽	dà mā	aunt; father’s elder brother’s wife
151	大型	大型	dàxíng	large
152	大爷	大爺	dà ye	uncle; father’s elder brother
153	大众	大眾	dà zhòng	public; the masses; people
154	代替	代替	dàitì	replace
155	待遇	待遇	dàiyù	treatment
156	袋	袋	dài	bag; sack; pocket; pouch
157	戴	戴	dài	wear
158	担保	擔保	dānbǎo	assure; hypothecate
159	担任	擔任	dānrèn	To serve as
160	担心	擔心	dānxīn	Worry
161	单	單	dān	single; odd; unlined; thin; weak; only; alone
162	单纯	單純	dānchún	Simple
163	单调	單調	dāndiào	monotonous
164	单独	單獨	dāndú	Alone
165	淡	淡	dàn	light
166	导游	導遊	dǎoyóu	Guide
167	导致	導致	dǎozhì	cause
168	倒闭	倒閉	dǎobì	Collapse
169	倒车	倒車	dǎo chē	change trains or buses
170	倒车	倒車	dào chē	back a car; reverse
171	得意	得意	déyì	Proud
172	得	得	děi	need; must; have to; be sure to
173	灯光	燈光	dēng guāng	light; stage lighting
174	登	登	dēng	ascend; mount; scale; step on; pedal; publish
175	登记	登記	dēngjì	register
176	登录	登錄	dēnglù	Sign in
177	登山	登山	dēng shān	mountaineer; mountain-climbing
178	的确	的確	díquè	indeed; be certain to
179	敌人	敵人	dírén	Enemy
180	底	底	dǐ	bottom
181	地方	地方	dìfang	local
182	地面	地面	dì miàn	ground; floor; surface
183	地位	地位	dìwèi	status
184	地下	地下	dì xià	underground; subterranean; secret
185	地址	地址	dìzhǐ	address
186	典型	典型	diǎnxíng	typical
187	点名	點名	diǎn míng	rollcall; mention sb. by name
188	电灯	電燈	diàn dēng	electric light
189	电动车	電動車	diàn dòng chē	electric car
190	电梯	電梯	diàntī	Elevator.
191	电源	電源	diànyuán	power supply
192	顶	頂	dǐng	top
193	定	定	dìng	decide; fix; book; order; calm; stable
194	冬季	冬季	dōng jì	winter
195	动画片	動畫片	dònghuàpiàn	Cartoon
196	动摇	動搖	dòng yáo	shake; vacillate; waver; be indecisive
197	豆腐	豆腐	dòufu	tofu
198	独立	獨立	dúlì	Independent
199	独特	獨特	dútè	unique
200	独自	獨自	dú zì	alone; by oneself; one’s own
201	堵	堵	dǔ	stop up; block up; stifled; suffocated; oppressed
202	堵车	堵車	dǔchē	Traffic jam
203	肚子	肚子	dùzi	belly
204	度过	度過	dùguò	Spend
205	锻炼	鍛鍊	duànliàn	Physical exercise
206	对比	對比	duìbǐ	Contrast
207	对付	對付	duìfu	deal with
208	对于	對於	duìyú	about
209	多次	多次	duō cì	repeatedly; many a time
210	多年	多年	duō nián	many years
211	多样	多樣	duō yàng	diversity
212	多种	多種	duō zhǒng	multiple; various; diversified; manifold
213	恶心	噁心	ěxin	disgusting
214	儿童	兒童	értóng	children
215	而	而	ér	and
216	而是	而是	ér shì	but
217	耳机	耳機	ěr jī	earphone; headphone; headset
218	二手	二手	èr shǒu	second hand
219	发挥	發揮	fāhuī	Develop
220	发票	發票	fāpiào	invoice
221	发烧	發燒	fāshāo	Have a fever
222	法	法	fǎ	law; way; method; example; rule
223	法官	法官	fǎ guān	judge
224	法律	法律	fǎlǜ	Law
225	法院	法院	fǎyuàn	Court
226	翻	翻	fān	Turn
227	翻译	翻譯	fānyì	translate
228	烦	煩	fán	bother; to bother
229	反	反	fǎn	turn over; rebel; on the contrary; instead
230	反而	反而	fǎn’ér	Instead
231	反映	反映	fǎnyìng	reflect
232	方	方	fāng	square
233	方案	方案	fāng’àn	programme
234	方针	方針	fāngzhēn	policy
235	放松	放鬆	fàngsōng	Relax
236	非	非	fēi	wrong
237	肥	肥	féi	fat; fertile
238	分布	分佈	fēnbù	distribution
239	分散	分散	fēnsàn	Dispersed
240	分手	分手	fēnshǒu	Break up
241	分为	分為	fēn wéi	divide into
242	…分之…	…分之…	… fēn zhī …	fractional number
243	纷纷	紛紛	fēnfēn	one after another
244	奋斗	奮鬥	fèndòu	Struggle
245	风格	風格	fēnggé	style
246	风景	風景	fēngjǐng	Scenery
247	风俗	風俗	fēngsú	Customs
248	封闭	封閉	fēngbì	close
249	否则	否則	fǒuzé	otherwise
250	夫妇	夫婦	fūfù	couple
251	夫妻	夫妻	fū qī	man and wife
252	夫人	夫人	fūrén	Madam
253	符号	符號	fúhào	Symbol
254	符合	符合	fúhé	accord with
255	付出	付出	fù chū	pay out
256	负担	負擔	fùdān	burden
257	附近	附近	fùjìn	nearby
258	复制	複製	fùzhì	copy
259	改善	改善	gǎishàn	Improve
260	改正	改正	gǎizhèng	correction
261	盖	蓋	gài	cover
262	概括	概括	gàikuò	Generalization
263	感兴趣	感興趣	gǎnxìngqù	be intretested in
264	高潮	高潮	gāocháo	climax
265	高价	高價	gāo jià	high price
266	高尚	高尚	gāoshàng	noble
267	高铁	高鐵	gāo tiě	high-speed train; high-speed rail
268	格外	格外	géwài	especially
269	隔	隔	gé	partition; separate; divide
270	隔开	隔開	gé kāi	separate; space out; separation; partition
271	个别	個別	gèbié	individual
272	个体	個體	gètǐ	individual
273	各个	各個	gè gè	each
274	根	根	gēn	root
275	根据	根據	gēnjù	according to
276	工程	工程	gōng chéng	engineering; project
277	公元	公元	gōngyuán	A.D.
278	供应	供應	gōng yìng	supply; provide
279	共	共	gòng	common; general; share; together; altogether
280	构成	構成	gòuchéng	constitute
281	构造	構造	gòu zào	structure; construction
282	购买	購買	gòu mǎi	buy; purchase
283	购物	購物	gòuwù	Shopping
284	骨头	骨頭	gǔtou	Bone
285	固定	固定	gùdìng	fixed
286	瓜	瓜	guā	melon
287	怪（形、副）	怪（形、副）	guài	strange; odd; bewildering; very; quite; rather
288	关（名）	關（名）	guān	pass; check point; customhouse; mechanism; barrier
289	关闭	關閉	guānbì	close; shut
290	关于	關於	guānyú	about
291	官	官	guān	officer
292	官方	官方	guānfāng	by the government official
293	光临	光臨	guānglín	presence
294	光盘	光盤	guāngpán	CD
295	逛	逛	guàng	Stroll
296	归	歸	guī	return; go back
297	规律	規律	guīlǜ	Law
298	规模	規模	guīmó	scale
299	规则	規則	guīzé	rule
300	果实	果實	guǒshí	fruit
301	过分	過分	guòfèn	excessive
302	海水	海水	hǎi shuǐ	seawater; brine; sea
303	海鲜	海鮮	hǎixiān	seafood
304	含	含	hán	contain; cherish; nurse; keep
305	含量	含量	hán liàng	content
306	含义	含義	hányì	signification; meanings
307	含有	含有	hán yǒu	contain; have
308	寒假	寒假	hánjià	The winter vacation
309	寒冷	寒冷	hán lěng	cold; frigid; chill; frigidity
310	行业	行業	hángyè	industry
311	航班	航班	hángbān	flight
312	航空	航空	hángkōng	aviation
313	毫米	毫米	háomǐ	millimeter
314	毫升	毫升	háo shēng	milliliter
315	好友	好友	hǎo yǒu	friend
316	号码	號碼	hàomǎ	number
317	好	好	hǎo	good
318	合同	合同	hétong	contract
319	黑暗	黑暗	hēi àn	dark; darkness; murk
320	红包	紅包	hóng bāo	red envelope; red packet
321	后头	後頭	hòu tou	back
322	厚	厚	hòu	thick
323	呼吸	呼吸	hūxī	breathing
324	忽视	忽視	hūshì	Ignore
325	户	户	hù	household; family; door
326	护士	護士	hùshi	Nurse
327	花（形）	花（形）	huā	multicoloured; coloured; flowery
328	划	劃	huá	paddle, row
329	划	劃	huà	transfer, assign, differenciate
330	怀念	懷念	huáiniàn	Miss
331	怀疑	懷疑	huáiyí	doubt
332	缓解	緩解	huǎnjiě	relieve
333	黄瓜	黃瓜	huáng guā	cucumber; cuke
334	黄金	黃金	huángjīn	gold
335	回复	回覆	huí fù	reply
336	汇	匯	huì	remit; converge; collection; collected things
337	汇报	彙報	huìbào	report
338	汇率	匯率	huìlǜ	exchange rate
339	婚礼	婚禮	hūnlǐ	wedding
340	火（形）	火（形）	huǒ	fiery; flaming; urgent
341	伙	夥	huǒ	partner; partnership
342	伙伴	夥伴	huǒbàn	Partner
343	或许	或許	huòxǔ	maybe; probably
344	货	貨	huò	goods; commodity; money
345	获	獲	huò	obtain; win; reap; capture; catch
346	获得	獲得	huòdé	Get
347	获奖	獲獎	huò jiǎng	win a prize; receive an award
348	获取	獲取	huò qǔ	gain; obtain
349	几乎	幾乎	jīhū	almost
350	机构	機構	jīgòu	mechanism
351	机遇	機遇	jīyù	Opportunity
352	积累	積累	jīlěi	accumulation
353	激动	激動	jīdòng	Excited
354	激烈	激烈	jīliè	fierce
355	及格	及格	jígé	pass
356	极	極	jí	extremely
357	极其	極其	jíqí	extremely
358	即将	即將	jíjiāng	soon
359	急忙	急忙	jímáng	Hastily
360	集合	集合	jíhé	aggregate
361	记载	記載	jìzǎi	Record
362	纪律	紀律	jìlǜ	discipline
363	技巧	技巧	jìqiǎo	Skill
364	系	系	xì	department
365	季	季	jì	season; period
366	季度	季度	jìdù	quarter (of a year)
367	季节	季節	jìjié	Season
368	既	既	jì	already; since; as
369	既然	既然	jìrán	Since
370	寄	寄	jì	send
371	加班	加班	jiābān	overtime work
372	加入	加入	jiā rù	add; mix; join; become a member
373	加油站	加油站	jiāyóuzhàn	Gas station
374	家务	家務	jiāwù	Housework
375	假如	假如	jiǎrú	If
376	坚固	堅固	jiāngù	strong
377	检测	檢測	jiǎn cè	detect; test
378	减	減	jiǎn	subtract; reduce; decrease; cut; minus
379	减肥	減肥	jiǎnféi	Reduce weight
380	减少	減少	jiǎnshǎo	reduce
381	简历	簡歷	jiǎnlì	resume
382	健身	健身	jiànshēn	workout
383	渐渐	漸漸	jiàn jiàn	gradually; step by step
384	江	江	jiāng	river
385	讲究	講究	jiǎngjiu	Pay attention to, stress
386	讲座	講座	jiǎngzuò	Lecture
387	奖	獎	jiǎng	award; prize; reward
388	奖金	獎金	jiǎngjīn	bonus
389	奖学金	獎學金	jiǎng xué jīn	scholarship; fellowship
390	降	降	jiàng	fall; drop; descend; come down; lower
391	降低	降低	jiàngdī	reduce
392	降价	降價	jiàng jià	cut price; reduce price
393	降落	降落	jiàngluò	land
394	降温	降温	jiàng wēn	lower the temperature; drop in temperature
395	交换	交換	jiāohuàn	exchange
396	交际	交際	jiāojì	communication
397	教授	教授	jiàoshòu	professor
398	教训	教訓	jiàoxùn	lesson
399	阶段	階段	jiēduàn	stage
400	街道	街道	jiēdào	Street
401	节省	節省	jiéshěng	save
402	结	結	jié	bear; form; knit; knot
403	结构	結構	jiégòu	structure
404	结论	結論	jiélùn	conclusion
405	姐妹	姐妹	jiě mèi	sisters
406	解释	解釋	jiěshì	explain
407	尽快	儘快	jǐnkuài	as soon as possible
408	紧密	緊密	jǐn mì	close; inseparable
409	尽力	盡力	jìnlì	Try the best
410	进口	進口	jìnkǒu	Imported
411	近代	近代	jìndài	Modern
412	禁止	禁止	jìnzhǐ	prohibit
413	经典	經典	jīngdiǎn	classics; scriptures
414	精力	精力	jīnglì	energy
415	竟然	竟然	jìngrán	Unexpectedly
416	镜头	鏡頭	jìngtóu	Camera lens
417	镜子	鏡子	jìngzi	Mirror
418	究竟	究竟	jiūjìng	exactly
419	酒吧	酒吧	jiǔbā	Bar
420	居民	居民	jūmín	residents
421	居住	居住	jūzhù	live
422	局（名）	局（名）	jú	bureau; part; portion; innings; gathering
423	巨大	巨大	jùdà	huge
424	具备	具備	jùbèi	Have, possess
425	距离	距離	jùlí	distance
426	聚	聚	jù	assemble; gather; get together
427	聚会	聚會	jùhuì	Party
428	卷	卷	juǎn	roll, curly, reel
429	卷	卷	juàn	volume; file
430	角色	角色	juésè	role
431	开花	開花	kāi huā	flower; bloom; blossom
432	开水	開水	kāishuǐ	Boiling water
433	看不起	看不起	kànbuqǐ	Despise
434	看来	看來	kàn lái	it seems; it appears
435	看望	看望	kànwàng	visit
436	考察	考察	kǎochá	Investigate
437	考虑	考慮	kǎolǜ	Consider
438	棵	棵	kē	Tree (measure word)
439	可见	可見	kějiàn	So
440	空间	空間	kōngjiān	space
441	空	空	kōng	empty
442	口袋	口袋	kǒu dài	pocket
443	口语	口語	kǒu yǔ	spoken language
444	苦	苦	kǔ	bitter
445	会计	會計	kuàijì	accountant
446	快递	快遞	kuài dì	express delivery
447	宽	寬	kuān	wide
448	宽广	寬廣	kuān guǎng	broad; vast; extensive
449	矿泉水	礦泉水	kuàngquánshuǐ	Mineral water
450	扩大	擴大	kuòdà	Expand
451	扩展	擴展	kuò zhǎn	expand; extend; spread; develop
452	括号	括號	kuò hào	brackets; parentheses
453	垃圾	垃圾	lā jī	rubbish; garbage; refuse; waste
454	拉开	拉開	lā kāi	pull open; undraw; zip
455	辣	辣	là	hot, spicy
456	来不及	來不及	láibují	There’s not enough time
457	来得及	來得及	láidejí	In time
458	来源	來源	láiyuán	source
459	老公	老公	lǎo gōng	husband
460	老家	老家	lǎo jiā	hometown; home state
461	老婆	老婆	lǎopó	wife
462	老实	老實	lǎoshi	honest
463	乐趣	樂趣	lèqù	pleasure
464	泪	淚	lèi	tear; teardrop
465	泪水	淚水	lèi shuǐ	tear; teardrop
466	类型	類型	lèixíng	type
467	冷静	冷靜	lěngjìng	calm down
468	厘米	釐米	límǐ	centimeter
469	离不开	離不開	lí bù kāi	can’t do without
470	力气	力氣	lìqi	Strength
471	历史	歷史	lìshǐ	History
472	立即	立即	lìjí	immediately
473	利息	利息	lìxī	accrual; interest
474	利益	利益	lìyì	interest
475	俩	倆	liǎ	Two
476	良好	良好	liánghǎo	good
477	量	量	liáng	measure; estimate; amount
478	粮食	糧食	liángshi	foodstuff
479	两边	兩邊	liǎng biān	both sides
480	疗养	療養	liáo yǎng	recuperate; convalesce
481	了不起	了不起	liǎobuqǐ	Amazing
482	了解	瞭解	liǎojiě	understand
483	列	列	liè	arrange; line up; list
484	列车	列車	lièchē	train
485	列入	列入	liè rù	included in
486	列为	列為	liè wéi	be classified as; listed as
487	临时	臨時	línshí	temporary
488	零食	零食	língshí	snacks
489	流传	流傳	liúchuán	spread
490	楼梯	樓梯	lóu tī	stairs; staircase; stairway
491	陆地	陸地	lùdì	land
492	陆续	陸續	lùxù	One after another
493	录取	錄取	lùqǔ	matriculate
494	律师	律師	lǜshī	Lawyer
495	轮	輪	lún	wheel; ring; take turns
496	轮船	輪船	lúnchuán	Ship
497	轮椅	輪椅	lún yǐ	wheelchair
498	轮子	輪子	lún zi	wheel
499	论文	論文	lùnwén	paper
500	落	落	luò	fall; drop; go down; set; decline; drop behind
501	毛巾	毛巾	máojīn	Towel
502	毛衣	毛衣	máo yī	sweater; wool sweater
503	帽子	帽子	màozi	Hat
504	没错	沒錯	méi cuò	that’s right
505	没法儿	沒法兒	méi fǎr	can not; no way
506	没想到	沒想到	méi xiǎng dào	didn’t expect
507	美金	美金	měi jīn	USD; dollar
508	美女	美女	měi nǚ	belle ; beauty; beautiful woman
509	梦	夢	mèng	dream
510	梦见	夢見	mèng jiàn	see in a dream; dream about; dream
511	梦想	夢想	mèngxiǎng	Dream
512	秘密	秘密	mìmì	Secret
513	秘书	秘書	mìshū	secretary
514	密	密	mì	thick; secret; close; dense
515	密码	密碼	mìmǎ	Password
516	密切	密切	mìqiè	close
517	免费	免費	miǎnfèi	Free of charge
518	面临	面臨	miànlín	face
519	面试	面試	miàn shì	interview; audition
520	描述	描述	miáo shù	describe; depict; description
521	描写	描寫	miáoxiě	describe
522	名牌儿	名牌兒	míng páir	famous brand
523	名片	名片	míngpiàn	business card
524	名人	名人	míng rén	celebrity; famous person
525	摸	摸	mō	feel
526	模特儿	模特兒	mó tèr	model
527	模型	模型	móxíng	Model
528	末	末	mò	end; last; final stage
529	默默	默默	mòmò	silently
530	哪怕	哪怕	nǎpà	even if
531	哪	哪	nǎ	which
532	男女	男女	nán nǚ	men and women; male and female
533	男士	男士	nán shì	man
534	难免	難免	nánmiǎn	Unavoidable
535	脑袋	腦袋	nǎodai	head
536	闹	鬧	nào	noisy; make a noise; suffer; be troubled
537	闹钟	鬧鐘	nào zhōng	alarm clock
538	内部	內部	nèibù	interior
539	内科	內科	nèikē	Internal medicine
540	能干	能幹	nénggàn	capable
541	宁静	寧靜	níng jìng	peaceful; tranquil; quiet
542	浓	濃	nóng	strong
543	女士	女士	nǚshì	Ma’am
544	暖气	暖氣	nuǎn qì	central heating; heating; heater
545	拍照	拍照	pāi zhào	take a picture; photograph
546	排列	排列	páiliè	array
547	牌	牌	pái	brand; cards; plate; tablet
548	盘（名、量）	盤（名、量）	pán	tray; plate; dish; current price; game; set; (measure word)
549	盘子	盤子	pánzi	plate
550	胖子	胖子	pàng zi	fat person; fatty
551	培训	培訓	péixùn	Train
552	培训班	培訓班	péi xùn bān	training class
553	培养	培養	péiyǎng	culture
554	培育	培育	péiyù	Cultivation
555	批（动）	批（動）	pī	criticize; batch
556	批（量）	批（量）	pī	(measure word)
557	片面	片面	piànmiàn	one-sided
558	品质	品質	pǐnzhì	quality
559	平方	平方	píngfāng	square
560	平静	平靜	píngjìng	calm
561	平均	平均	píngjūn	Average
562	平稳	平穩	píng wěn	smooth; steady
563	迫切	迫切	pòqiè	urgent
564	破产	破產	pòchǎn	bankruptcy
565	妻子	妻子	qīzi	Wife
566	期待	期待	qīdài	expect; look forward to
567	期间	期間	qījiān	Period
568	期末	期末	qī mò	end of term
569	期限	期限	qīxiàn	term
570	期中	期中	qī zhōng	midterm
571	其余	其餘	qíyú	Rest
572	企业	企業	qǐyè	enterprise
573	气球	氣球	qì qiú	balloon
574	汽水	汽水	qì shuǐ	soda; soda water; aerated water; sparkling water
575	汽油	汽油	qìyóu	gasoline
576	器官	器官	qìguān	organ
577	前头	前頭	qián tou	front; thereinbefore
578	前途	前途	qiántú	future
579	浅	淺	qiǎn	shallow
580	巧克力	巧克力	qiǎokèlì	Chocolates
581	切	切	qiē	cut
582	亲爱	親愛	qīn’ài	Dear
583	亲密	親密	qīnmì	close
584	青春	青春	qīngchūn	Youth
585	轻松	輕鬆	qīngsōng	Relaxed
586	轻易	輕易	qīngyì	easily
587	清醒	清醒	qīngxǐng	Sober
588	情景	情景	qíngjǐng	scene
589	穷	窮	qióng	poor
590	穷人	窮人	qióng rén	poor people; the poor
591	秋季	秋季	qiū jì	autumn; fall
592	趋势	趨勢	qūshì	trend
593	圈	圈	quān	circle
594	权利	權利	quánlì	Right
595	却	卻	què	but
596	确认	確認	quèrèn	confirm
597	然而	然而	rán’ér	however
598	燃料	燃料	rán liào	fuel
599	燃烧	燃燒	ránshāo	burning
600	热闹	熱鬧	rènao	lively
601	热心	熱心	rèxīn	enthusiastic
602	人家	人家	rénjiā	family
603	日记	日記	rìjì	diary
604	日历	日曆	rìlì	calendar
605	如今	如今	rújīn	nowadays
606	弱	弱	ruò	weak
607	伞	傘	sǎn	umbrella
608	散	散	sàn	break up; disperse; distribute; disseminate; give out
609	扫	掃	sǎo	sweep; broom
610	色	色	sè	colour; look; expression; scene; quality
611	色彩	色彩	sècǎi	color
612	森林	森林	sēnlín	Forest
613	晒	曬	shài	The sun
614	闪	閃	shǎn	dodge; get out of the way; sprain; flash; sparkle; shine; lightning
615	闪电	閃電	shǎndiàn	lightning
616	善良	善良	shànliáng	kind; virtuous
617	善于	善於	shànyú	be good at
618	伤害	傷害	shānghài	hurt
619	商务	商務	shāngwù	business
620	赏	賞	shǎng	award; appreciate; reward
621	上个月	上個月	shàng gè yuè	last month
622	上楼	上樓	shàng lóu	go upstairs
623	上门	上門	shàng mén	drop in; visit
624	烧	燒	shāo	burn; cook; bake; roast; run a fever
625	设施	設施	shèshī	facilities
626	设置	設置	shèzhì	Set up
627	申请	申請	shēnqǐng	Apply
628	身材	身材	shēncái	figure
629	身份	身份	shēnfèn	identity
630	身高	身高	shēn gāo	height
631	深厚	深厚	shēn hòu	deep; profound; solid; deep-seated
632	神话	神話	shénhuà	Myth
633	神秘	神秘	shénmì	mysterious
634	甚至	甚至	shènzhì	Even to the extent that
635	失败	失敗	shībài	fail
636	失望	失望	shīwàng	Disappointment
637	失业	失業	shīyè	Unemployment
638	诗	詩	shī	poetry
639	诗人	詩人	shī rén	poet
640	湿	濕	shī	wet; damp; humid
641	实施	實施	shíshī	Implementation
642	实用	實用	shíyòng	Practical
643	食堂	食堂	shí táng	dining room; mess hall; canteen
644	使劲	使勁	shǐ jìn	exert all one’s strength; put in energy
645	士兵	士兵	shìbīng	soldiers
646	市区	市區	shì qū	downtown area; urban district
647	似的	似的	shìde	Like
648	事物	事物	shìwù	Thing
649	事先	事先	shìxiān	Prior
650	试卷	試卷	shìjuàn	test paper
651	是否	是否	shìfǒu	Whether
652	收回	收回	shōu huí	withdraw; regain; call in; countermand
653	收获	收穫	shōuhuò	Harvest
654	收益	收益	shōuyì	income; profit
655	手工	手工	shǒugōng	manual
656	手里	手裏	shǒu lǐ	in one’s hands
657	手术	手術	shǒushù	Operation
658	手套	手套	shǒutào	glove
659	守	守	shǒu	guard; defend; observe
660	首（量）	首（量）	shǒu	(measure word)
661	受不了	受不了	shòubuliǎo	Cannot bear sth
662	售货员	售貨員	shòuhuòyuán	Salesperson
663	叔叔	叔叔	shūshu	uncle
664	舒适	舒適	shūshì	Comfortable
665	熟练	熟練	shúliàn	skilled
666	暑假	暑假	shǔ jià	summer vacation
667	树林	樹林	shù lín	wood; grove; forest
668	树叶	樹葉	shù yè	leaf; tree leaf
669	数据	數據	shùjù	data
670	数码	數碼	shùmǎ	Digital
671	刷	刷	shuā	brush; scrub; paste up
672	刷牙	刷牙	shuāyá	Brush one’s teeth
673	刷子	刷子	shuā zi	brush; scrub
674	帅	帥	shuài	Handsome
