No	Simplified	Traditional	Pinyin	English
262	检查	檢查	jiǎnchá	inspect; check
263	见到	見到	jiàn dào	see
264	见过	見過	jiàn guò	seen; have seen
265	件	件	jiàn	piece
266	健康	健康	jiànkāng	Healthy
267	讲	講	jiǎng	speak
268	讲话	講話	jiǎng huà	speak; talk
269	交	交	jiāo	hand over
270	交给	交給	jiāo gěi	hand over
271	交朋友	交朋友	jiāo péng yǒu	make friends
272	交通	交通	jiāotōng	traffic
273	角	角	jiǎo	horn
274	角度	角度	jiǎodù	angle
275	饺子	餃子	jiǎozi	Dumplings
276	脚	腳	jiǎo	foot
277	叫作	叫作	jiào zuò	be called; be known as
278	教师	教師	jiào shī	teacher
279	教室	教室	jiàoshì	Classroom
280	教学	教學	jiào xué	teach
281	教育	教育	jiàoyù	education
282	接	接	jiē	meet， pick
283	接到	接到	jiē dào	receive
284	接受	接受	jiēshòu	accept
285	接下来	接下來	jiē xià lái	next
286	接着	接着	jiēzhe	Next
287	街	街	jiē	street
288	节（名、量）	節（名、量）	jié	festival; holiday; joint; (measure word)
289	节目	節目	jiémù	program
290	节日	節日	jiérì	festival
291	结果	結果	jiéguǒ	Result
292	借	借	jiè	borrow
293	斤	斤	jīn	a unit of weight (=1/2 kilogram)
294	今后	今後	jīn hòu	from now on; in the future
295	进入	進入	jìn rù	enter; go in; join
296	进行	進行	jìnxíng	Conduct
297	近	近	jìn	near
298	经常	經常	jīngcháng	Often
299	经过	經過	jīngguò	after, through
300	经理	經理	jīnglǐ	manager
301	酒	酒	jiǔ	alcohol; liqueur
302	酒店	酒店	jiǔ diàn	hotel
303	就要	就要	jiù yào	be going to; be about to
304	举	舉	jǔ	lift
305	举手	舉手	jǔ shǒu	raise one’s hand or hands
306	举行	舉行	jǔxíng	hold
307	句	句	jù	sentence
308	句子	句子	jùzi	sentence
309	卡	卡	kǎ	card
310	开机	開機	kāi jī	starting up
311	开心	開心	kāixīn	Happy
312	开学	開學	kāi xué	school opens; term begins
313	看法	看法	kànfǎ	view
314	考生	考生	kǎo shēng	examinee
315	靠	靠	kào	lean
316	科	科	kē	subject; family; section
317	科学	科學	kēxué	science
318	可爱	可愛	kě’ài	Lovely
319	可能	可能	kěnéng	Probably
320	可怕	可怕	kěpà	dreadful
321	可是	可是	kěshì	however
322	可以	可以	kěyǐ	Sure
323	克	克	kè	gram
324	刻（量）	刻（量）	kè	a quarter (of an hour)
325	客人	客人	kèrén	Guest
326	课堂	課堂	kè táng	classroom
327	空气	空氣	kōngqì	atmosphere
328	哭	哭	kū	cry
329	快餐	快餐	kuài cān	fast food
330	快点儿	快點兒	kuài diǎnr	hurry up
331	快乐	快樂	kuàilè	happy
332	快要	快要	kuài yào	be about to; be going to
333	筷子	筷子	kuàizi	chopsticks
334	拉	拉	lā	pull
335	来自	來自	láizì	Come from
336	蓝	藍	lán	blue
337	蓝色	藍色	lán sè	blue
338	篮球	籃球	lán qiú	basketball
339	老（副）	老（副）	lǎo	always; constantly
340	老（老王）	老（老王）	lǎo （ lǎo wáng ）	noun prefix (Lao Wang)
341	老年	老年	lǎo nián	elderly
342	老朋友	老朋友	lǎo péng yǒu	old friend
343	老是	老是	lǎo shì	always; all times
344	离	離	lí	leave
345	离开	離開	líkāi	leave
346	礼物	禮物	lǐwù	gift
347	里头	裏頭	lǐ tou	inside
348	理想	理想	lǐxiǎng	ideal
349	例如	例如	lìrú	for example
350	例子	例子	lì zi	example
351	脸	臉	liǎn	face
352	练	練	liàn	practice; train
353	练习	練習	liànxí	Practice
354	凉	涼	liáng	cool
355	凉快	涼快	liángkuai	Pleasantly cool
356	两（量）	兩（量）	liǎng	a unit of weight (=50 grams)
357	亮	亮	liàng	bright
358	辆	輛	liàng	Car (measure word)
359	零下	零下	líng xià	below zero
360	留	留	liú	stay
361	留下	留下	liú xià	stay; remain
362	留学生	留學生	liú xué shēng	student studying abroad; returned student
363	流	流	liú	flow; spread
364	流利	流利	liúlì	fluent
365	流行	流行	liúxíng	Popular
366	路边	路邊	lù biān	roadside; wayside
367	旅客	旅客	lǚ kè	passenger; traveler
368	旅行	旅行	lǚxíng	travel
369	旅游	旅遊	lǚyóu	Tourism
370	绿	綠	lǜ	green
371	绿色	綠色	lǜ sè	green
372	卖	賣	mài	sell
373	满	滿	mǎn	full
374	满意	滿意	mǎnyì	Satisfied
375	猫	貓	māo	cat
376	米（量）	米（量）	mǐ	meter
377	面¹（名、量）	面¹（名、量）	miàn ¹	(measure word); side; aspect
378	面²（名）	面²（名）	miàn ²	face; surface; outside; side; scale; flour
379	面前	面前	miàn qián	in front of; before
380	名	名	míng	name
381	名称	名稱	míng chēng	name; designation
382	名单	名單	míng dān	list
383	明星	明星	míngxīng	Star
384	目的	目的	mùdì	objective
385	拿出	拿出	ná chū	take out
386	拿到	拿到	ná dào	get
387	那（连）	那（連）	nà	then; in that case
388	那会儿	那會兒	nà huìr	at that time; then
389	那么	那麼	nà me	like that; in that way
390	那时候｜那时	那時候｜那時	nà shí hou ｜ nà shí	at that time
391	那样	那樣	nà yàng	that kind; like that; such
392	南方	南方	nán fāng	south
393	难过	難過	nánguò	Sorry
394	难看	難看	nán kàn	ugly
395	难受	難受	nánshòu	Uncomfortable
396	难题	難題	nán tí	problem; difficult problem; puzzle
397	难听	難聽	nán tīng	unpleasant to hear
398	能够	能夠	néng gòu	be able to; can
399	年级	年級	niánjí	grade
400	年轻	年輕	niánqīng	Young
401	鸟	鳥	niǎo	bird
402	弄	弄	nòng	get, make
403	努力	努力	nǔlì	Strive
404	爬	爬	pá	climb; creep; scramble
405	爬山	爬山	páshān	Mountain climbing
406	怕（动）	怕（動）	pà	be afraid; fear; dread
407	排（名、量）	排（名、量）	pái	row; line
408	排队	排隊	páiduì	queue; stand in a line
409	排球	排球	pái qiú	volleyball
410	碰	碰	pèng	touch, meet
411	碰到	碰到	pèng dào	meet; run into; bump into
412	碰见	碰見	pèng jiàn	meet; run into; bump into
413	篇	篇	piān	piece
414	便宜	便宜	piányi	Cheap
415	片	片	piàn	slice
416	漂亮	漂亮	piàoliang	Well done!； beautiful
417	平	平	píng	flat
418	平安	平安	píng’ān	sound and safe
419	平常	平常	píngcháng	Usual
420	平等	平等	píngděng	equality
421	平时	平時	píngshí	peacetime
422	瓶	瓶	píng	bottle
423	瓶子	瓶子	píngzi	Bottle
424	普通	普通	pǔ tōng	ordinary; general; average; common
425	普通话	普通話	pǔtōnghuà	Mandarin
426	其他	其他	qítā	Other
427	其中	其中	qízhōng	among
428	骑	騎	qí	ride
429	骑车	騎車	qí chē	cycle
430	起飞	起飛	qǐfēi	take off
431	气	氣	qì	air; gas; breath
432	气温	氣温	qì wēn	air temperature
433	千	千	qiān	thousand
434	千克	千克	qiān kè	kilogram
435	前年	前年	qián nián	the year before last
436	墙	牆	qiáng	wall
437	青年	青年	qīng nián	youth; young
438	青少年	青少年	qīngshàonián	Teenagers
439	轻	輕	qīng	light
440	清楚	清楚	qīngchu	clear
441	晴	晴	qíng	Sunny
442	晴天	晴天	qíng tiān	sunny day
443	请客	請客	qǐng kè	stand treat; entertain
444	请求	請求	qǐngqiú	request
445	秋天	秋天	qiū tiān	fall; autumn
446	求	求	qiú	request; beg; entreat; beseech
447	球场	球場	qiú chǎng	court; field
448	球队	球隊	qiú duì	team
449	球鞋	球鞋	qiú xié	sneakers; gym shoes
450	取	取	qǔ	take
451	取得	取得	qǔ dé	acquire; gain; obtain
452	全	全	quán	whole; entire; complete
453	全部	全部	quánbù	whole
454	全国	全國	quán guó	nationwide; entire country
455	全家	全家	quán jiā	whole family
456	全年	全年	quán nián	annual; yearly
457	全身	全身	quán shēn	whole body
458	全体	全體	quán tǐ	all; entire; whole
459	然后	然後	ránhòu	Then
460	让	讓	ràng	Give Way
461	热情	熱情	rèqíng	Enthusiasm
462	人口	人口	rénkǒu	population
463	人们	人們	rén men	people
464	人数	人數	rén shù	number of people
465	认为	認為	rènwéi	think
466	日报	日報	rì bào	daily, journal
467	日子	日子	rìzi	life, days
468	如果	如果	rúguǒ	If
469	入口	入口	rùkǒu	Entrance
470	商量	商量	shāngliang	discuss
471	商人	商人	shāng rén	businessman
472	上周	上週	shàng zhōu	last week
473	少数	少數	shǎo shù	small number; few; minority
474	少年	少年	shào nián	juvenile; young person
475	身边	身邊	shēn biān	at [by] one’s side
476	什么样	什麼樣	shén me yàng	what kind
477	生（动）	生（動）	shēng	give birth; be born
478	生词	生詞	shēng cí	new word
479	生活	生活	shēnghuó	Life
480	声音	聲音	shēngyīn	voice
481	省（名）	省（名）	shěng	province
482	省（动）	省（動）	shěng	economize; save; omit; leave out
483	十分	十分	shífēn	very
484	实际	實際	shíjì	Actual
485	实习	實習	shíxí	Internship
486	实现	實現	shíxiàn	Realization
487	实在	實在	shízài	real; indeeed
488	实在	實在	shízai	done carefully
489	食物	食物	shíwù	food
490	使用	使用	shǐyòng	Use
491	市	市	shì	city
492	市长	市長	shì zhǎng	mayor
493	事情	事情	shìqing	Thing
494	收	收	shōu	collect
495	收到	收到	shōu dào	receive; obtain
496	收入	收入	shōurù	income
497	手表	手錶	shǒubiǎo	Wrist Watch
498	受到	受到	shòudào	Suffer
499	舒服	舒服	shūfu	comfortable
500	熟	熟	shú	ripe; cooked; familiar; skilled
501	数	數	shǔ	to count
502	数字	數字	shùzì	number
503	水平	水平	shuǐpíng	level
504	顺利	順利	shùnlì	smoothly
505	说明	説明	shuōmíng	Explain
506	司机	司機	sījī	Driver
507	送到	送到	sòng dào	sent to (place)
508	送给	送給	sòng gěi	give to (somebody or organization)
509	算	算	suàn	count; calculate
510	虽然	雖然	suī rán	although; though
511	随便	隨便	suíbiàn	casual
512	随时	隨時	suíshí	at any time
513	所以	所以	suǒ yǐ	so
514	所有	所有	suǒyǒu	All
515	它	它	tā	it
516	它们	它們	tā men	they
517	太太	太太	tàitai	Ma’am
518	太阳	太陽	tàiyáng	sun
519	态度	態度	tàidu	attitude
520	讨论	討論	tǎolùn	discuss
521	套	套	tào	set
522	特别	特別	tèbié	Especially
523	特点	特點	tèdiǎn	Characteristic
524	疼	疼	téng	hurt
525	提	提	tí	carry
526	提出	提出	tí chū	put forward; propose; raise
527	提到	提到	tí dào	mention; refer to
528	提高	提高	tígāo	increase, promote
529	题	題	tí	topic
530	体育	體育	tǐyù	Sports
531	体育场	體育場	tǐ yù chǎng	stadium
532	体育馆	體育館	tǐ yù guǎn	stadium; gymnasium; gym
533	天上	天上	tiān shàng	the sky; heaven
534	条	條	tiáo	strip
535	条件	條件	tiáojiàn	condition
536	听讲	聽講	tīng jiǎng	attend a lecture; listen to a talk
537	听说	聽説	tīng shuō	be told; hear of
538	停	停	tíng	Stop
539	停车	停車	tíng chē	park
540	停车场	停車場	tíng chē chǎng	parking lot
541	挺（副）	挺（副）	tǐng	very; quite; pretty; rather
542	挺好	挺好	tǐng hǎo	very good; not half bad
543	通	通	tōng	through; common; all; understand; expert
544	通过	通過	tōngguò	adopt
545	通知	通知	tōngzhī	notice
546	同时	同時	tóngshí	meanwhile
547	同事	同事	tóngshì	Colleague
548	同样	同樣	tóng yàng	same
549	头（名、量）	頭（名、量）	tóu	head; beginning or end; side; (measure word)
550	头（里头）	頭（裏頭）	tóu	suffix (inside)
551	头发	頭髮	tóufa	Hair
552	图片	圖片	tú piàn	picture; photograph
553	推	推	tuī	push
554	腿	腿	tuǐ	leg
555	外地	外地	wài dì	other places; nonlocal
556	外卖	外賣	wài mài	takeaway; take out
557	完	完	wán	finish
558	完成	完成	wánchéng	complete
559	完全	完全	wánquán	completely
560	晚安	晚安	wǎn ān	good night
561	晚报	晚報	wǎn bào	evening paper; evening news
562	晚餐	晚餐	wǎn cān	dinner; supper
563	晚会	晚會	wǎn huì	evening party
564	碗	碗	wǎn	bowl
565	万	萬	wàn	ten thousand
566	网	網	wǎng	net; network
567	网球	網球	wǎngqiú	Tennis
568	网站	網站	wǎngzhàn	website
569	往	往	wǎng	to
570	为	為	wèi	by
571	为什么	為什麼	wèishénme	Why
572	位	位	wèi	person (measure word)
573	味道	味道	wèidào	taste
574	喂（叹）	喂（嘆）	wèi	hello; hey
575	温度	温度	wēndù	temperature
576	闻	聞	wén	smell
577	问路	問路	wèn lù	ask for directions
578	问题	問題	wèntí	problem
579	午餐	午餐	wǔ cān	lunch
580	午睡	午睡	wǔ shuì	nap
581	西北	西北	xī běi	northwest
582	西餐	西餐	xī cān	western food
583	西方	西方	xī fāng	west
584	西南	西南	xī nán	southwest
585	西医	西醫	xī yī	western medicine
586	习惯	習慣	xíguàn	Habit
587	洗衣机	洗衣機	xǐ yī jī	washing machine
588	洗澡	洗澡	xǐzǎo	Take a shower
589	下（量）	下（量）	xià	(measure word)
590	下雪	下雪	xià xuě	snow; snowing
591	下周	下週	xià zhōu	next week
592	夏天	夏天	xià tiān	summer
593	相同	相同	xiāngtóng	identical
594	相信	相信	xiāngxìn	believe
595	响	響	xiǎng	loud
596	想到	想到	xiǎng dào	think of; call to mind; have at heart
597	想法	想法	xiǎng fǎ	idea; opinion;thought
598	想起	想起	xiǎng qǐ	remember; recall; think of; call to mind
599	向	向	xiàng	towards
600	相机	相機	xiàng jī	camera
601	像（动）	像（動）	xiàng	be like; resemble; look like; such as
602	小（小王）	小（小王）	xiǎo （ xiǎo wáng ）	prefix (Xiao Wang)
603	小声	小聲	xiǎo shēng	in a low voice; in whispers
604	小时候	小時候	xiǎo shí hou	in one’s childhood; when one was young
605	小说	小説	xiǎoshuō	Novel
606	小心	小心	xiǎoxīn	Look out
607	小组	小組	xiǎo zǔ	group
608	校园	校園	xiào yuán	campus; schoolyard
609	校长	校長	xiàozhǎng	Principal
610	笑话	笑話	xiàohua	joke
611	笑话儿	笑話兒	xiào huàr	joke
612	鞋	鞋	xié	shoes
613	心里	心裏	xīn lǐ	in the heart; at heart
614	心情	心情	xīnqíng	mood
615	心中	心中	xīn zhōng	in the heart; at heart; in mind
616	新闻	新聞	xīnwén	news
617	信（名）	信（名）	xìn	letter; mail; faith
618	信号	信號	xìnhào	signal
619	信息	信息	xìnxī	information
620	信心	信心	xìnxīn	confidence
621	信用卡	信用卡	xìnyòngkǎ	Credit card
622	星星	星星	xīng xing	star
623	行动	行動	xíngdòng	Get some action
624	行人	行人	xíngrén	pedestrian
625	行为	行為	xíngwéi	behavior
626	姓	姓	xìng	surname
627	姓名	姓名	xìng míng	full name
628	休假	休假	xiū jià	have a holiday; take a vacation; be on furlough
629	许多	許多	xǔduō	many
630	选	選	xuǎn	choose; select; pick
631	学期	學期	xuéqī	Semester
632	雪	雪	xuě	Snow
633	颜色	顏色	yánsè	colour
634	眼	眼	yǎn	eye
635	眼睛	眼睛	yǎnjing	Eye
636	养	養	yǎng	raise; keep; support; cultivate
637	样子	樣子	yàngzi	A look
638	要求	要求	yāoqiú	Requirement
639	药	藥	yào	drug
640	药店	藥店	yào diàn	pharmacy
641	药片	藥片	yào piàn	pill
642	药水	藥水	yào shuǐ	liquid medicine; potion
643	也许	也許	yěxǔ	perhaps
644	夜	夜	yè	night
645	夜里	夜裏	yè lǐ	at night
646	一部分	一部分	yí bù fèn	a part; a portion
647	一定	一定	yídìng	Certain
648	一共	一共	yígòng	Altogether
649	一会儿（副）	一會兒（副）	yí huìr	awhile; in a moment; presently
650	一路平安	一路平安	yí lù píng ān	safe journey; have a pleasant journey
651	一路顺风	一路順風	yí lù shùn fēng	Bon voyage
652	已经	已經	yǐjīng	Already
653	以后	以後	yǐ hòu	after; later on; afterwards; later
654	以前	以前	yǐqián	before
655	以上	以上	yǐ shàng	above; over
656	以外	以外	yǐ wài	beyond; outside; other than; except
657	以为	以為	yǐwéi	Think
658	以下	以下	yǐ xià	below; under
659	椅子	椅子	yǐzi	Chair
660	一般	一般	yìbān	commonly
661	一点点	一點點	yì diǎn diǎn	a little bit
662	一生	一生	yì shēng	lifetime; all one’s life
663	一直	一直	yìzhí	always
664	亿	億	yì	Billion
665	意见	意見	yìjiàn	Opinion
666	意思	意思	yìsi	Meaning
667	因为	因為	yīn wèi	because
668	阴	陰	yīn	Yin
669	阴天	陰天	yīn tiān	cloudy day; overcast sky
670	音节	音節	yīn jié	syllable
671	音乐	音樂	yīnyuè	Music
672	音乐会	音樂會	yīn yuè huì	concert
673	银行	銀行	yínháng	Bank
674	银行卡	銀行卡	yín háng kǎ	bank card
675	应该	應該	yīnggāi	Should
676	英文	英文	yīng wén	English
677	英语	英語	yīng yǔ	English
678	影片	影片	yǐng piàn	film; movie
679	影响	影響	yǐngxiǎng	Influence
680	永远	永遠	yǒngyuǎn	forever
681	油	油	yóu	oil; fat; grease
682	游客	遊客	yóu kè	tourist; visitor
683	友好	友好	yǒuhǎo	friendly
684	有空儿	有空兒	yǒu kòngr	be free; at leisure
685	有人	有人	yǒu rén	someone; there’s someone
686	有（一）点儿	有（一）點兒	yǒu （ yì ） diǎnr	a little bit
687	有意思	有意思	yǒu yì si	interesting; significant
688	又	又	yòu	also
689	鱼	魚	yú	fish
690	语言	語言	yǔyán	language
691	原来	原來	yuánlái	Original; formerly
692	原因	原因	yuányīn	Reason
693	院	院	yuàn	yard; compound; courtyard; college
694	院长	院長	yuàn zhǎng	dean
695	院子	院子	yuàn zi	courtyard; yard
696	愿意	願意	yuànyì	Be willing
697	月份	月份	yuè fèn	month
698	月亮	月亮	yuèliang	Moon
699	越	越	yuè	The more
700	越来越	越來越	yuè lái yuè	more and more
701	云	雲	yún	cloud
702	运动	運動	yùndòng	motion
703	咱	咱	zán	we; us
704	咱们	咱們	zánmen	We
705	脏	髒	zāng	dirty
706	早餐	早餐	zǎo cān	breakfast
707	早晨	早晨	zǎo chén	morning
708	早就	早就	zǎo jiù	long since
709	怎么办	怎麼辦	zěn me bàn	how to; what to do
710	怎么样	怎麼樣	zěnmeyàng	How about
711	怎样	怎樣	zěn yàng	how
